site,longitude,latitude,ve,vn,ee,en
TUKT,-132.99,69.44,3.4000000000000004,-1.9,0.4,0.5
PBOC,-148.34,70.26,0.7000000000000001,-0.5,500.4,0.5
AB45,-148.87,68.76,1.4000000000000001,-1.7999999999999998,0.4,0.5
AB46,-145.57,68.12,2.6,-0.8,0.4,0.5
AB39,-145.21,66.56,1.6,-0.2,0.4,0.5
AB33,-150.17,67.25,2.0,-1.4000000000000001,0.4,0.5
AB27,-156.91,67.06,0.8,-1.6,0.4,0.5
AB18,-162.61,66.86,-0.4,-3.1,0.4,0.5
AB09,-168.06,65.61,1.0,-2.4,0.5,0.5
AB17,-160.7,63.89,-2.3000000000000003,-2.0,0.4,0.5
AB15,-159.88,61.04,-3.3000000000000003,-2.0,0.4,0.5
AB12,-161.75,58.95,-5.1,-1.7999999999999998,0.5,0.5
AB11,-165.37,64.56,0.6,-2.8000000000000003,0.5,0.5
AB08,-166.2,60.38,-2.6,-2.8000000000000003,0.5,0.5
AB04,-170.57,63.66,0.7000000000000001,-2.6,0.5,0.5
ATQK,-157.41,70.47,1.6,-1.6,0.4,0.5
AC07,-161.29,65.96,0.5,-2.1,0.4,0.5
AC50,-164.57,65.55,0.8,-2.0,0.4,0.5
GAMB,-171.73,63.77,1.1,-2.4,0.5,0.6
MELS,-163.69,64.92,0.3,-2.5,0.5,0.5
HOOP,-166.14,61.52,-2.2,-3.0,0.5,0.6
BETC,-161.84,60.78,-2.0,-2.8000000000000003,0.5,0.6
NOME,-165.37,64.56,0.6,-3.2,0.5,0.6
AB25,-156.02,62.93,-2.8000000000000003,-1.7999999999999998,0.4,0.5
AC33,-150.69,62.67,-12.2,3.2,0.4,0.5
AC37,-153.87,60.44,-4.8,-0.6,0.4,0.5
AB22,-154.7,59.9,-6.6000000000000005,-1.7999999999999998,0.4,0.5
AC24,-156.65,58.68,-8.5,0.3,0.4,0.5
TAZL,-145.43,62.08,-6.4,15.5,0.7000000000000001,0.7000000000000001
7297,-145.43,62.69,-4.2,10.4,0.7000000000000001,0.7000000000000001
STRI,-142.95,63.33,1.0,2.1,1.2,0.8999999999999999
PAXS,-145.45,62.97,-3.2,9.1,0.6,0.7000000000000001
PISA,-149.21,63.28,-5.8,5.0,0.7000000000000001,0.7000000000000001
FCRK,-145.48,63.09,-3.5,9.399999999999999,0.6,0.6
ATT,-145.85,63.5,-1.9,9.0,1.0,0.8999999999999999
DNLY,-145.89,63.7,-1.9,5.8,0.7000000000000001,0.7000000000000001
